label,rps_target,connections,trial,latency_us,percentile
kloudknox,10000,10,1,739.000,0.081166
kloudknox,10000,10,1,740.000,0.081333
kloudknox,10000,10,1,740.000,0.081499
kloudknox,10000,10,1,740.000,0.081666
kloudknox,10000,10,1,741.000,0.081833
kloudknox,10000,10,1,741.000,0.081999
kloudknox,10000,10,1,742.000,0.082166
kloudknox,10000,10,1,742.000,0.082333
kloudknox,10000,10,1,742.000,0.082499
kloudknox,10000,10,1,743.000,0.082666
kloudknox,10000,10,1,743.000,0.082833
kloudknox,10000,10,1,744.000,0.082999
kloudknox,10000,10,1,744.000,0.083166
kloudknox,10000,10,1,744.000,0.083332
kloudknox,10000,10,1,745.000,0.083499
kloudknox,10000,10,1,745.000,0.083666
kloudknox,10000,10,1,745.000,0.083832
kloudknox,10000,10,1,746.000,0.083999
kloudknox,10000,10,1,746.000,0.084166
kloudknox,10000,10,1,746.000,0.084332
kloudknox,10000,10,1,747.000,0.084499
kloudknox,10000,10,1,747.000,0.084666
kloudknox,10000,10,1,748.000,0.084832
kloudknox,10000,10,1,748.000,0.084999
kloudknox,10000,10,1,748.000,0.085166
kloudknox,10000,10,1,749.000,0.085332
kloudknox,10000,10,1,749.000,0.085499
kloudknox,10000,10,1,750.000,0.085666
kloudknox,10000,10,1,750.000,0.085832
kloudknox,10000,10,1,750.000,0.085999
kloudknox,10000,10,1,751.000,0.086166
kloudknox,10000,10,1,751.000,0.086332
kloudknox,10000,10,1,752.000,0.086499
kloudknox,10000,10,1,752.000,0.086666
kloudknox,10000,10,1,752.000,0.086832
kloudknox,10000,10,1,753.000,0.086999
kloudknox,10000,10,1,753.000,0.087166
kloudknox,10000,10,1,753.000,0.087332
kloudknox,10000,10,1,754.000,0.087499
kloudknox,10000,10,1,754.000,0.087666
kloudknox,10000,10,1,754.000,0.087832
kloudknox,10000,10,1,755.000,0.087999
kloudknox,10000,10,1,755.000,0.088166
kloudknox,10000,10,1,755.000,0.088332
kloudknox,10000,10,1,756.000,0.088499
kloudknox,10000,10,1,756.000,0.088666
kloudknox,10000,10,1,756.000,0.088832
kloudknox,10000,10,1,757.000,0.088999
kloudknox,10000,10,1,757.000,0.089166
kloudknox,10000,10,1,757.000,0.089332
kloudknox,10000,10,1,758.000,0.089499
kloudknox,10000,10,1,758.000,0.089666
kloudknox,10000,10,1,759.000,0.089832
kloudknox,10000,10,1,759.000,0.089999
kloudknox,10000,10,1,759.000,0.090166
kloudknox,10000,10,1,760.000,0.090332
kloudknox,10000,10,1,760.000,0.090499
kloudknox,10000,10,1,760.000,0.090666
kloudknox,10000,10,1,761.000,0.090832
kloudknox,10000,10,1,761.000,0.090999
kloudknox,10000,10,1,761.000,0.091166
kloudknox,10000,10,1,762.000,0.091332
kloudknox,10000,10,1,762.000,0.091499
kloudknox,10000,10,1,762.000,0.091666
kloudknox,10000,10,1,763.000,0.091832
kloudknox,10000,10,1,763.000,0.091999
kloudknox,10000,10,1,764.000,0.092166
kloudknox,10000,10,1,764.000,0.092332
kloudknox,10000,10,1,764.000,0.092499
kloudknox,10000,10,1,765.000,0.092666
kloudknox,10000,10,1,765.000,0.092832
kloudknox,10000,10,1,765.000,0.092999
kloudknox,10000,10,1,766.000,0.093166
kloudknox,10000,10,1,766.000,0.093332
kloudknox,10000,10,1,766.000,0.093499
kloudknox,10000,10,1,767.000,0.093666
kloudknox,10000,10,1,767.000,0.093832
kloudknox,10000,10,1,768.000,0.093999
kloudknox,10000,10,1,768.000,0.094166
kloudknox,10000,10,1,768.000,0.094332
kloudknox,10000,10,1,769.000,0.094499
kloudknox,10000,10,1,769.000,0.094666
kloudknox,10000,10,1,769.000,0.094832
kloudknox,10000,10,1,770.000,0.094999
kloudknox,10000,10,1,770.000,0.095166
kloudknox,10000,10,1,771.000,0.095332
kloudknox,10000,10,1,771.000,0.095499
kloudknox,10000,10,1,772.000,0.095666
kloudknox,10000,10,1,772.000,0.095832
kloudknox,10000,10,1,772.000,0.095999
kloudknox,10000,10,1,773.000,0.096166
kloudknox,10000,10,1,773.000,0.096332
kloudknox,10000,10,1,773.000,0.096499
kloudknox,10000,10,1,774.000,0.096666
kloudknox,10000,10,1,774.000,0.096832
kloudknox,10000,10,1,774.000,0.096999
kloudknox,10000,10,1,775.000,0.097166
kloudknox,10000,10,1,775.000,0.097332
kloudknox,10000,10,1,775.000,0.097499
kloudknox,10000,10,1,776.000,0.097666
kloudknox,10000,10,1,776.000,0.097832
kloudknox,10000,10,1,776.000,0.097999
kloudknox,10000,10,1,777.000,0.098166
kloudknox,10000,10,1,777.000,0.098332
kloudknox,10000,10,1,778.000,0.098499
kloudknox,10000,10,1,778.000,0.098666
kloudknox,10000,10,1,778.000,0.098832
kloudknox,10000,10,1,779.000,0.098999
kloudknox,10000,10,1,779.000,0.099166
kloudknox,10000,10,1,779.000,0.099332
kloudknox,10000,10,1,780.000,0.099499
kloudknox,10000,10,1,780.000,0.099666
kloudknox,10000,10,1,780.000,0.099832
kloudknox,10000,10,1,781.000,0.099999
kloudknox,10000,10,1,781.000,0.100166
kloudknox,10000,10,1,781.000,0.100332
kloudknox,10000,10,1,782.000,0.100499
kloudknox,10000,10,1,782.000,0.100666
kloudknox,10000,10,1,782.000,0.100832
kloudknox,10000,10,1,783.000,0.100999
kloudknox,10000,10,1,783.000,0.101166
kloudknox,10000,10,1,783.000,0.101332
kloudknox,10000,10,1,784.000,0.101499
kloudknox,10000,10,1,784.000,0.101666
kloudknox,10000,10,1,784.000,0.101832
kloudknox,10000,10,1,785.000,0.101999
kloudknox,10000,10,1,785.000,0.102166
kloudknox,10000,10,1,785.000,0.102332
kloudknox,10000,10,1,786.000,0.102499
kloudknox,10000,10,1,786.000,0.102666
kloudknox,10000,10,1,787.000,0.102832
kloudknox,10000,10,1,787.000,0.102999
kloudknox,10000,10,1,787.000,0.103166
kloudknox,10000,10,1,787.000,0.103332
kloudknox,10000,10,1,788.000,0.103499
kloudknox,10000,10,1,788.000,0.103666
kloudknox,10000,10,1,788.000,0.103832
kloudknox,10000,10,1,789.000,0.103999
kloudknox,10000,10,1,789.000,0.104166
kloudknox,10000,10,1,789.000,0.104332
kloudknox,10000,10,1,790.000,0.104499
kloudknox,10000,10,1,790.000,0.104666
kloudknox,10000,10,1,790.000,0.104832
kloudknox,10000,10,1,791.000,0.104999
